accession	taxid	realm	kingdom	phylum	class	order	family	genus	species	host	length_bp
NC_029803.1	1812308	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus deinbolliae	eukaryote	2702
NC_029804.1	1812308	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus deinbolliae	eukaryote	2759
NC_029783.1	1815581	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Closteroviridae	Ampelovirus	Ampelovirus tredecimvitis	eukaryote	17608
NC_029782.1	1077832	Riboviria	Orthornavirae	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae			eukaryote	2984
NC_029797.1	1756191	Floreoviria	Shotokuvirae	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Protoparvovirus	Protoparvovirus chiropteran1	eukaryote	4765
NC_029799.1	60456	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Tospoviridae	Orthotospovirus	Orthotospovirus iridimaculaflavi	eukaryote	8880
NC_029800.1	60456	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Tospoviridae	Orthotospovirus	Orthotospovirus iridimaculaflavi	eukaryote	3105
NC_038232.1	60456	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Tospoviridae	Orthotospovirus	Orthotospovirus iridimaculaflavi	eukaryote	4838
NC_029802.1	442302	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Picobirnaviridae	Orthopicobirnavirus		eukaryote	1730
NC_029801.1	442302	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Picobirnaviridae	Orthopicobirnavirus		eukaryote	2666
NC_018072.1	1033976	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Tospoviridae	Orthotospovirus	Orthotospovirus phaseolinecrotessellati	eukaryote	4886
NC_018071.1	1033976	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Tospoviridae	Orthotospovirus	Orthotospovirus phaseolinecrotessellati	eukaryote	2584
NC_018070.1	1033976	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Tospoviridae	Orthotospovirus	Orthotospovirus phaseolinecrotessellati	eukaryote	9040
NC_029853.1	590745	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus		eukaryote	8183
NC_029852.1	1822365	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus		eukaryote	7470
NC_029854.1	1604871	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus		eukaryote	7382
NC_018074.1	706525	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Omikronpapillomavirus	Omikronpapillomavirus 1	eukaryote	7596
NC_018075.1	706526	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Upsilonpapillomavirus	Upsilonpapillomavirus 3	eukaryote	7635
NC_018076.1	706527	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyopipapillomavirus	Dyopipapillomavirus 1	eukaryote	7348
NC_029994.1	67762	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus		eukaryote	2762
NC_029991.1	1837089	Riboviria	Orthornavirae	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	Triamitovirus	Triamitovirus rhor1	eukaryote	3038
NC_029996.1	2072024				Naldaviricetes	Lefavirales	Baculoviridae	Betabaculovirus	Betabaculovirus molatipedis	eukaryote	134272
NC_029995.1	1825931	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumflavushuangbaiense	eukaryote	2748
NC_029993.1	1770265	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	Enamovirus		eukaryote	5726
NC_029997.2	1675866				Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus urprotei	eukaryote	105555
NC_029936.1	1712572	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Nairoviridae	Orthonairovirus	Orthonairovirus yogueense	eukaryote	1761
NC_029931.1	1712572	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Nairoviridae	Orthonairovirus	Orthonairovirus yogueense	eukaryote	12065
NC_029935.1	1712572	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Nairoviridae	Orthonairovirus	Orthonairovirus yogueense	eukaryote	4410
NC_029900.1	1725329	Riboviria	Orthornavirae	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	Alphanecrovirus	Alphanecrovirus solani	eukaryote	3674
NC_029901.1	1764086	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Phenuiviridae	Phlebovirus	Phlebovirus zerdaliense	eukaryote	6403
NC_037612.1	1764086	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Phenuiviridae	Phlebovirus	Phlebovirus zerdaliense	eukaryote	4202
NC_037613.1	1764086	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Phenuiviridae	Phlebovirus	Phlebovirus zerdaliense	eukaryote	1907
NC_029903.1	1764085	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Phenuiviridae	Phlebovirus	Phlebovirus torosense	eukaryote	6456
NC_037614.1	1764085	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Phenuiviridae	Phlebovirus	Phlebovirus torosense	eukaryote	4326
NC_037615.1	1764085	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Phenuiviridae	Phlebovirus	Phlebovirus torosense	eukaryote	1702
NC_029932.1	1712570	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Nairoviridae	Orthonairovirus	Orthonairovirus kasokeroense	eukaryote	1719
NC_029933.1	1712570	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Nairoviridae	Orthonairovirus	Orthonairovirus kasokeroense	eukaryote	4598
NC_036636.1	1712570	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Nairoviridae	Orthonairovirus	Orthonairovirus kasokeroense	eukaryote	12063
NC_029921.1	1549864	Riboviria	Orthornavirae	Negarnaviricota	Insthoviricetes	Articulavirales	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae	eukaryote	1471
NC_029922.1	1549864	Riboviria	Orthornavirae	Negarnaviricota	Insthoviricetes	Articulavirales	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae	eukaryote	1250
NC_029923.1	1549864	Riboviria	Orthornavirae	Negarnaviricota	Insthoviricetes	Articulavirales	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae	eukaryote	1099
NC_029924.1	1549864	Riboviria	Orthornavirae	Negarnaviricota	Insthoviricetes	Articulavirales	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae	eukaryote	777
NC_029925.1	1549864	Riboviria	Orthornavirae	Negarnaviricota	Insthoviricetes	Articulavirales	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae	eukaryote	548
NC_029928.1	1549864	Riboviria	Orthornavirae	Negarnaviricota	Insthoviricetes	Articulavirales	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae	eukaryote	1044
NC_029929.1	1549864	Riboviria	Orthornavirae	Negarnaviricota	Insthoviricetes	Articulavirales	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae	eukaryote	657
NC_029930.1	1549864	Riboviria	Orthornavirae	Negarnaviricota	Insthoviricetes	Articulavirales	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae	eukaryote	465
NC_029927.1	1549864	Riboviria	Orthornavirae	Negarnaviricota	Insthoviricetes	Articulavirales	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae	eukaryote	1371
NC_029926.1	1549864	Riboviria	Orthornavirae	Negarnaviricota	Insthoviricetes	Articulavirales	Amnoonviridae	Tilapinevirus	Tilapinevirus tilapiae	eukaryote	1641
NC_035887.1	336987	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus nicotianacubaense	eukaryote	2609
NC_035888.1	336987	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus nicotianacubaense	eukaryote	2567
NC_029906.1	1825924	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	Polerovirus	Polerovirus BVG	eukaryote	5620
NC_029911.1	2170064	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus mahlapitsiense	eukaryote	3925
NC_029912.1	2170064	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus mahlapitsiense	eukaryote	3846
NC_029913.1	2170064	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus mahlapitsiense	eukaryote	2341
NC_029916.1	2170064	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus mahlapitsiense	eukaryote	1209
NC_029915.1	2170064	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus mahlapitsiense	eukaryote	1322
NC_029917.1	2170064	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus mahlapitsiense	eukaryote	3950
NC_029918.1	2170064	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus mahlapitsiense	eukaryote	2145
NC_029919.1	2170064	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus mahlapitsiense	eukaryote	1277
NC_029914.1	2170064	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus mahlapitsiense	eukaryote	2112
NC_029920.1	2170064	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus mahlapitsiense	eukaryote	1068
NC_029907.1	1819678						Alphasatellitidae			eukaryote	1335
NC_037581.1	1811230	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Crabreovirus	Crabreovirus callinectes	eukaryote	2449
NC_037582.1	1811230	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Crabreovirus	Crabreovirus callinectes	eukaryote	2149
NC_037588.1	1811230	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Crabreovirus	Crabreovirus callinectes	eukaryote	1130
NC_037585.1	1811230	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Crabreovirus	Crabreovirus callinectes	eukaryote	1281
NC_037586.1	1811230	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Crabreovirus	Crabreovirus callinectes	eukaryote	1243
NC_037587.1	1811230	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Crabreovirus	Crabreovirus callinectes	eukaryote	1211
NC_029904.1	1811230	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Crabreovirus	Crabreovirus callinectes	eukaryote	4300
NC_037589.1	1811230	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Crabreovirus	Crabreovirus callinectes	eukaryote	1166
NC_037583.1	1811230	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Crabreovirus	Crabreovirus callinectes	eukaryote	2020
NC_037584.1	1811230	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Crabreovirus	Crabreovirus callinectes	eukaryote	1534
NC_029989.1	1833938	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Pseudototiviridae	Victorivirus	Victorivirus nijyuichi	eukaryote	5211
NC_029990.1	1833824	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	Polerovirus	Polerovirus MAYMV	eukaryote	5625
NC_030152.1	1840528	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus		eukaryote	1512
NC_030159.1	1840528	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus		eukaryote	2259
NC_030160.1	1840528	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus		eukaryote	2029
NC_030161.1	1840528	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus		eukaryote	3775
NC_030162.1	1840528	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus		eukaryote	3307
NC_030153.1	1840528	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus		eukaryote	1304
NC_030154.1	1840528	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus		eukaryote	1223
NC_030155.1	1840528	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus		eukaryote	1170
NC_030157.1	1840528	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus		eukaryote	1000
NC_030158.1	1840528	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus		eukaryote	4143
NC_030163.1	1840528	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus		eukaryote	2084
NC_030156.1	1840528	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus		eukaryote	1093
NC_030115.1	1769780	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Cripavirus		eukaryote	8919
NC_030236.1	2170135	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus impatiensis	eukaryote	9622
NC_030229.1	327387	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	Tobamovirus tropici	eukaryote	6350
NC_030126.1	2170117	Floreoviria	Shotokuvirae	Cressdnaviricota	Arfiviricetes	Cremevirales	Smacoviridae	Porprismacovirus	Porprismacovirus porci10	eukaryote	2684
NC_030146.1	1843742	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemycircularvirus	Gemycircularvirus bovas1	eukaryote	2164
NC_030141.1	1843740	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemycircularvirus	Gemycircularvirus chicas1	eukaryote	2247
NC_030145.1	1843739	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemycircularvirus	Gemycircularvirus porci1	eukaryote	2308
NC_030143.1	1843738	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemycircularvirus	Gemycircularvirus equas1	eukaryote	2240
NC_030140.1	1843737	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemycircularvirus	Gemycircularvirus chicas2	eukaryote	2230
NC_030144.1	1843736	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemycircularvirus	Gemycircularvirus sheas1	eukaryote	2384
NC_030147.1	1843735	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemygorvirus	Gemygorvirus cania1	eukaryote	2226
NC_030138.1	1843734	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemygorvirus	Gemygorvirus malas1	eukaryote	2194
NC_030118.1	1792583	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus nicotianamaculae	eukaryote	9896
NC_030117.1	170325	Duplodnaviria	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Varicellovirus	Varicellovirus canidalpha1	eukaryote	125171
NC_030148.1	1662286	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae			eukaryote	14334
NC_030151.1	1434070	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Epsilonpapillomavirus	Epsilonpapillomavirus 2	eukaryote	8082
NC_030127.1	1843773	Floreoviria	Shotokuvirae	Cressdnaviricota	Arfiviricetes	Cremevirales	Smacoviridae	Porprismacovirus	Porprismacovirus porci1	eukaryote	2589
NC_030201.1	1848042	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Fusagraviridae	Fusagravirus	Fusagravirus shichi	eukaryote	9518
NC_030200.1	2560568	Duplodnaviria	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus macacinebeta9	eukaryote	137448
NC_030203.1	1435450	Riboviria	Orthornavirae	Kitrinoviricota	Tolucaviricetes	Tolivirales	Ambiguiviridae	Betambiguivirus	Betambiguivirus sclerotiniae	eukaryote	4483
